comment,label,category
"Đm, video này rác vcl, xóa đi!",toxic,curse
"Thằng này ngu, làm cái gì kỳ vậy?",toxic,insult
"Mày tuổi gì mà khoe khoang ở đây?",toxic,aggressive
"Cmm, nhái Liên Quân mà dở thế!",toxic,curse
"Đồ óc chó, nói nhảm hoài!",toxic,insult
"Tuổi lồn đòi dạy đời à? Biến đi!",toxic,vulgar
"Mày làm nội dung gì mà tào lao vcl",toxic,offensive
"Đm, tốn thời gian xem cái rác này!",toxic,curse
"OK bạn ơi, tui hiểu rồi",neutral,acknowledgment
"Được thôi, cứ làm tiếp đi",neutral,acceptance
"Để tui xem xét thêm nha",neutral,consideration
"Cũng bình thường, không có gì hot",neutral,mediocre
"Tùy bạn, tui không quan tâm lắm",neutral,indifference
"Ờ, tui sẽ check sau",neutral,acknowledgment
"Không sao, bạn cứ đăng tiếp",neutral,dismissal
"Có vẻ ổn, nhưng tui chưa chắc",neutral,uncertain
"Chờ video sau của bạn nha!",neutral,anticipation
"Tạm được, nhưng chưa ấn tượng",neutral,mediocre
"Chúc mừng bạn ra clip mới, đỉnh lắm!",positive,celebration
"Chúc bạn thi tốt, cố lên nha!",positive,encouragement
"Chúc năm mới vui vẻ, phát tài phát lộc!",positive,celebration
"Chúc bạn mau khỏe, stay strong!",positive,care
"Yêu nội dung của bạn, chất quá trời!",positive,admiration
"Hài vãi, làm thêm clip hài đi bạn!",positive,humor
"LOL, cười sái quai hàm luôn!",positive,humor
"Bạn là number one, xuất sắc!",positive,praise
"Bạn làm tut chi tiết hơn được không?",neutral,request
"Link ở đâu vậy, share đi bạn!",neutral,question
"Video lag quá, fix giùm nha",neutral,technical_issue
"Hình không load được, check lại đi",neutral,technical_issue
"Âm thanh bé quá, tăng volume nha",neutral,suggestion
"Cần thêm thông tin, giải thích thêm!",neutral,request
"Nói gì vậy, tui không hiểu gì hết?",neutral,confusion
"Giải thích thêm chút đi bạn ơi",neutral,question
"Trend này hot vãi, bạn bắt trend đỉnh!",positive,trending
"Clip này chắc chắn viral, chất lắm!",positive,popular
"Đang hot trên mạng, hay quá bạn!",positive,buzzing
"Nội dung này đỉnh của chóp luôn!",positive,excellence
"Xạo quá, đừng đăng tin giả nha!",negative,warning
"Quảng cáo hoài, chán vcl luôn!",negative,annoyance
"Spam comment nhiều quá, mệt ghê",negative,complaint
"Clickbait à, thất vọng vãi!",negative,criticism
"Đm, lừa đảo hả? Đừng tin nhé!",toxic,warning
"Mày nhái Liên Quân mà dở thế, vcl!",toxic,insult
"Thằng khốn, xóa video này đi!",toxic,curse
"Đồ rác rưởi, đừng đăng nữa nha!",toxic,offensive
"Mày bị gì mà post mấy cái này?",toxic,aggressive
"Chất vãi, bạn đúng là top 1!",positive,compliment
"Ngầu lòi, tui respect bạn luôn!",positive,admiration
"Phong cách bạn tui mê xỉu!",positive,appreciation
"Video này đúng là kiệt tác luôn!",positive,masterpiece
"Không chê được, perfect 100%!",positive,perfection
"Nhạc nền này là bài gì vậy?",neutral,question
"Bạn dùng app gì để edit video?",neutral,question
"Camera xịn vãi, bao nhiêu tiền?",neutral,inquiry
"Setup đỉnh thế, share đi bạn!",neutral,request
"Như phim bom tấn, chất vãi!",positive,cinematic
"Tim tui tan chảy với clip này!",positive,heartwarming
"Xúc động quá, tui khóc luôn!",positive,emotional
"Video này đúng chữa lành tâm hồn",positive,therapeutic
"Đúng vibe tui luôn, yêu ghê!",positive,lifestyle
"Crush tui đây, OTP đỉnh cao!",positive,shipping
"Đôi này cute vãi, ship nhiệt tình!",positive,relationship_goals
"Tui single mà xem cái này buồn vcl",negative,loneliness
"Valentine tới, tui vẫn FA đây",neutral,single_status
"DM tui đi, tui rảnh nè bạn!",neutral,contact
"Ghét thật, nội dung này cringe quá!",negative,cringe
"Ngại giùm luôn, awkward vcl!",negative,awkward
"Try hard quá, bớt bớt đi nha!",negative,criticism
"Fake vãi, chả tự nhiên tí nào!",negative,artificial
"Khoe khoang nhiều quá, mệt thật!",negative,showing_off
"Chill đi bạn ơi, bình tĩnh nào!",neutral,calm_down
"Không có gì to tát, relax nha!",neutral,reassurance
"Thở sâu vô, đừng căng thẳng!",neutral,calming
"Plot twist đỉnh vãi, bất ngờ luôn!",positive,surprise
"Không đoán được, hay quá trời!",positive,amazement
"Đoán được từ đầu, chán vãi!",negative,predictable
"Cũ kỹ quá, tui thấy nhàm",negative,overused
"Sáng tạo vcl, lần đầu tui thấy!",positive,originality
"Đỉnh của chóp, bạn là huyền thoại!",positive,legendary
"Video nì đỉnh vcl, làm típ đi b!",positive,encouragement
"Content ngau xĩu, t mê luôn á!",positive,admiration
"Tks b nhìu, info hữu ích vcl!",positive,gratitude
"B giải thích dễ hỉu, thik ghê!",positive,appreciation
"Clip nì viral chắc lun, chất vl!",positive,excellence
"Chúc b ngày càng hot nha!",positive,blessing
"Nội dung sáng tạo xĩu, học dc nhìu!",positive,creativity
"Nhạc nền chill vcl, nghe sướng tai!",positive,appreciation
"Cười xĩu vs clip nì, hài vl!",positive,humor
"T cx đồng ý vs b, chuẩn lun!",positive,agreement
"Chán vcl, nội dung nì nhạt qué!",negative,dislike
"Thất vọng ghê, t mong hay hơn á",negative,disappointment
"Phần nì hok hỉu, giải thích thêm đi",negative,confusion
"Hok có gì hot, bt thui!",negative,mediocre
"Video dài qué, cắt bớt đi b!",negative,suggestion
"Info sai rùi, check lại nha!",negative,correction
"Có j đó sai sai, nghi vcl!",negative,doubt
"Nội dung nì chán, cần cải thiện nhìu!",negative,criticism
"Hok hợp gu t, lướt qua thui!",negative,personal_preference
"Lan man qué, t hok hỉu gì hết!",negative,confusion
"Nhái Liên Quân hả? Tuổi gì so dc!",toxic,insult
"Tuổi lồn mà đòi làm content chất?",toxic,vulgar
"Dm, clip nì rác vcl, xóa đi!",toxic,curse
"Thằng nì ngu, làm cái gì kỳ zậy?",toxic,insult
"Mày tuổi gì mà khoe khoang zậy?",toxic,aggressive
"Cmm, nhái Liên Quân mà dở vcl!",toxic,curse
"Thằng óc chó, nói nhảm hoài!",toxic,insult
"Tuổi lồn đòi dạy đời? Biến đi!",toxic,vulgar
"Mày làm content gì tào lao vcl!",toxic,offensive
"Dm, tốn time xem cái rác nì!",toxic,curse
"Oke b ơi, t hỉu rùi!",neutral,acknowledgment
"Đc thui, cứ làm típ đi!",neutral,acceptance
"Để t coi lại nha, hok chắc!",neutral,consideration
"Cx bt, hok có gì hot!",neutral,mediocre
"Tùy b, t hok care lắm!",neutral,indifference
"Oke, t check sau nha!",neutral,acknowledgment
"Hok sao, b cứ post típ!",neutral,dismissal
"Có vẻ oke, nhưng t hok chắc!",neutral,uncertain
"Chờ clip sau của b nha!",neutral,anticipation
"Tạm oke, nhưng cx hok ấn tượng!",neutral,mediocre
"Chúc b ra vid mới, đỉnh vl!",positive,celebration
"Chúc b thi tốt, cố lên nha!",positive,encouragement
"Chúc năm mới zui, phát tài nha!",positive,celebration
"Chúc b mau khỏe, mạnh mẽ nha!",positive,care
"Yêu content của b, chất xĩu!",positive,admiration
"Hài vcl, làm thêm vid hài đi b!",positive,humor
"LOL, cười đau bụng lun á!",positive,humor
"B là idol t lun, đỉnh vcl!",positive,praise
"B ơi, làm tut chi tiết hơn nha?",neutral,request
"Link ở đâu zậy, share đi b!",neutral,question
"Vid lag qué, fix giùm nha!",neutral,technical_issue
"Hình hok load dc, check lại đi!",neutral,technical_issue
"Âm thanh nhỏ qué, tăng lên nha!",neutral,suggestion
"Cần thêm info, giải thích thêm nha!",neutral,request
"Nói gì zậy, t hok hỉu gì hết?",neutral,confusion
"Giải thích thêm đi b ơi!",neutral,question
"Trend nì hot vcl, b bắt trend đỉnh!",positive,trending
"Vid nì viral chắc lun, chất vl!",positive,popular
"Đang hot trên mạng, hay xĩu!",positive,buzzing
"Content nì đỉnh của chóp lun!",positive,excellence
"Xạo qué, đừng post tin fake nha!",negative,warning
"QC nhìu vcl, chán ghê!",negative,annoyance
"Spam cmt hoài, mệt vcl!",negative,complaint
"Clickbait à, thất vọng xĩu!",negative,criticism
"Dm, lừa đảo hả? Đừng tin nha!",toxic,warning
"Mày nhái Liên Quân mà dở vcl!",toxic,insult
"Thằng khốn, xóa vid nì đi!",toxic,curse
"Đồ rác, đừng post nữa nha!",toxic,offensive
"Mày bị gì mà post mấy cái nì?",toxic,aggressive
"Chất vcl, b đỉnh số 1 lun!",positive,compliment
"Ngầu xĩu, t respect b lun!",positive,admiration
"Phong cách b t mê xĩu lun!",positive,appreciation
"Vid nì đúng kiệt tác lun á!",positive,masterpiece
"Hok chê dc, perfect vcl!",positive,perfection
"Nhạc nền nì là bài gì zậy?",neutral,question
"B dùng app gì edit vid zậy?",neutral,question
"Cam xịn vcl, giá bn zậy?",neutral,inquiry
"Setup đỉnh thế, share đi b!",neutral,request
"Như phim bom tấn, chất xĩu!",positive,cinematic
"Tim t xĩu vs clip nì lun!",positive,heartwarming
"Xúc động qué, t khóc lun!",positive,emotional
"Vid nì đúng chữa lành tâm hồn!",positive,therapeutic
"Đúng vibe t lun, yêu xĩu!",positive,lifestyle
"Crush t nì, OTP số 1 lun!",positive,shipping
"Đôi nì cute vcl, ship mạnh!",positive,relationship_goals
"T single mà coi nì buồn vcl!",negative,loneliness
"Valentine tới, t vẫn FA nè!",neutral,single_status
"DM t đi, t rảnh lắm nè!",neutral,contact
"Ghét qué, content nì cringe vcl!",negative,cringe
"Ngại giùm lun, awkward xĩu!",negative,awkward
"Try hard qué, bớt bớt đi nha!",negative,criticism
"Fake vcl, hok tự nhiên gì hết!",negative,artificial
"Khoe nhìu qué, mệt vcl!",negative,showing_off
"Chill đi b, bình tĩnh nha!",neutral,calm_down
"Hok có gì to tát, relax nha!",neutral,reassurance
"Thở sâu vô, đừng căng thẳng!",neutral,calming
"Plot twist đỉnh vcl, bất ngờ lun!",positive,surprise
"Hok đoán dc, hay xĩu lun!",positive,amazement
"Đoán dc từ đầu, chán vcl!",negative,predictable
"Cũ qué, t thấy nhạt vcl!",negative,overused
"Sáng tạo xĩu, lần đầu t thấy!",positive,originality
"Đỉnh của chóp, b là huyền thoại!",positive,legendary
"Tâm thần mà biết đường vô phá ngai vàng, giỏi ghê ha","toxic","sarcasm"
"Bảo vệ kiểu gì mà để người ta vô phá đồ quốc bảo vậy trời","negative","anger"
"Thôi cho ông này vô bệnh viện tâm thần đi, thả ra nguy hiểm xã hội","neutral","suggestion"
"Ngáo đá chứ tâm thần gì, nhìn cái mặt là biết liền","toxic","insult"
"Hài vl, chắc tưởng mình là vua nên phá ngai vàng luôn","neutral","humor"
"Triều Nguyễn còn thì ông này bị chém đầu lâu rồi nha","toxic","curse"
"Ai mua vé cho ông này vô vậy, tâm thần kiểu gì kỳ thế","neutral","question"
"Đề nghị sửa luật, tâm thần ko thể là lý do thoát tội","negative","suggestion"
"An ninh lỏng lẻo quá, cần sa thải hết đội bảo vệ đi","negative","anger"
"Thương ông này thiệt, chắc bệnh nặng lắm mới làm vậy","positive","neutral"
"Ngồi lên ngai vàng xong phá, chắc nghĩ mình là Tôn Ngộ Không","neutral","humor"
"Coi clip thấy ông này ngáo ngáo sao sao, không bình thường","neutral","neutral"
"Lại cái chiêu tâm thần để thoát tội, chán ghê","negative","sarcasm"
"Bảo vệ lăng chắc đi đánh bài nên ko thấy gì hết","toxic","sarcasm"
"Phá đồ quý thế này mà không bị gì thì đúng là bất công","negative","anger"
"Tâm thần thì gia đình phải trông chứ, thả ra làm gì","neutral","suggestion"
"Coi video buồn cười ghê, ông này phá mà tỉnh bơ","neutral","humor"
"Đúng là loạn thần tặc tử, đáng bị xử nặng","toxic","insult"
"Hỏi thật, tâm thần sao biết đường vô chỗ ngai vàng?","neutral","question"
"Cần luật riêng cho mấy người ngáo đá phá hoại","negative","suggestion"
"Thằng này đáng bị tùng xẻo, phá di sản quốc gia","toxic","curse"
"Bảo vệ ngủ quên hay sao mà để chuyện này xảy ra","negative","sarcasm"
"Tội nghiệp ông này, chắc bị bệnh nặng lắm","positive","neutral"
"Hài hước ghê, chắc tưởng mình là vua nên phá ngai","neutral","humor"
"An ninh yếu kém, cần xem lại quy trình bảo vệ di sản","negative","suggestion"
"Tâm thần mà phá đúng chỗ quan trọng, kn nổi","toxic","sarcasm"
"Phá hoại thế này thì phải phạt thật nặng, tâm thần hay không","negative","anger"
"Ai thả ông này ra mà để vô phá hoại vậy trời","neutral","question"
"Ngáo đá xong phá đồ, giờ lại kêu tâm thần, chán","negative","sarcasm"
"Coi clip thấy ông này hành động kỳ kỳ, chắc bệnh thật","neutral","neutral"
"Đội bảo vệ lăng làm ăn kiểu gì, đuổi việc hết đi","negative","anger"
"Tâm thần thì nhốt vô viện, thả ra làm gì","neutral","suggestion"
"Hài vl, chắc nghĩ mình là hoàng đế nên phá ngai","neutral","humor"
"Phá di sản quốc gia mà thoát tội thì đúng là bất công","negative","anger"
"Tâm thần sao tự đi được tới đó, nghi lắm","toxic","sarcasm"
"Cần xử lý nghiêm, ko thể để tâm thần là cái cớ","negative","suggestion"
"Bảo vệ lăng chắc đi uống cà phê nên ko thấy gì","negative","sarcasm"
"Thương ông này, chắc ko kiểm soát được hành vi","positive","neutral"
"Hài hước ghê, phá ngai vàng mà tỉnh bơ luôn","neutral","humor"
"An ninh yếu quá, cần cải thiện ngay","negative","suggestion"
"Tâm thần mà phá đúng chỗ, kn nổi","toxic","sarcasm"
"Phá hoại di sản thì phải đi tù, tâm thần cũng vậy","negative","anger"
"Ai dẫn ông này vô được vậy, lạ quá","neutral","question"
"Ngáo đá xong kêu tâm thần, quen thuộc ghê","negative","sarcasm"
"Coi clip thấy ông này lạ lạ, chắc bệnh nặng","neutral","neutral"
"Bảo vệ lăng làm ăn kiểu gì, sa thải hết đi","negative","anger"
"Tâm thần thì gia đình phải quản lý chứ","neutral","suggestion"
"Hài vl, chắc tưởng mình là vua triều Nguyễn","neutral","humor"
"Phá di sản quốc gia mà ko bị gì, bất công quá","negative","anger"
"Tâm thần sao biết phá ngai vàng, nghi ngờ lắm","toxic","sarcasm"
"Cần luật nghiêm hơn cho mấy vụ phá hoại","negative","suggestion"
"Thằng này đáng bị xử chém, phá đồ quý","toxic","curse"
"Bảo vệ lăng chắc đi ngủ nên ko thấy gì","negative","sarcasm"
"Tội ông này, chắc bệnh tâm thần nặng lắm","positive","neutral"
"Hài hước ghê, phá ngai mà tỉnh như sáo","neutral","humor"
"An ninh lăng yếu kém, cần thay đổi gấp","negative","suggestion"
"Tâm thần mà phá đúng chỗ, kn nổi","toxic","sarcasm"
"Phá di sản thì phải phạt nặng, ko tha","negative","anger"
"Ai thả ông này ra mà để vô phá vậy","neutral","question"
"Ngáo đá xong kêu tâm thần, chiêu cũ rích","negative","sarcasm"
"Coi clip thấy ông này hành động kỳ, chắc bệnh thật","neutral","neutral"
"Đội bảo vệ lăng làm ăn kiểu gì, đuổi hết","negative","anger"
"Tâm thần thì nhốt lại, thả ra nguy hiểm","neutral","suggestion"
"Hài vl, chắc nghĩ mình là vua nên phá ngai","neutral","humor"
"Phá di sản mà ko bị phạt, bất công vl","negative","anger"
"Tâm thần sao tự đi được tới lăng, nghi lắm","toxic","sarcasm"
"Cần xử lý nghiêm, tâm thần ko phải cái cớ","negative","suggestion"
"Bảo vệ lăng chắc đi nhậu nên ko thấy","negative","sarcasm"
"Thương ông này, chắc ko kiểm soát được","positive","neutral"
"Hài hước ghê, phá ngai mà tỉnh bơ","neutral","humor"
"An ninh yếu quá, cần cải thiện ngay","negative","suggestion"
"Tâm thần mà phá đúng chỗ, kn nổi","toxic","sarcasm"
"Phá di sản thì phải đi tù, ko thể tha","negative","anger"
"Ai dẫn ông này vô được vậy, kỳ quá","neutral","question"
"Ngáo đá xong kêu tâm thần, quen quá","negative","sarcasm"
"Coi clip thấy ông này lạ lắm, chắc bệnh nặng","neutral","neutral"
"Bảo vệ lăng làm ăn kiểu gì, sa thải đi","negative","anger"
"Tâm thần thì gia đình phải trông, thả ra chi","neutral","suggestion"
"Hài vl, chắc tưởng mình là hoàng đế","neutral","humor"
"Phá di sản quốc gia mà thoát, bất công quá","negative","anger"
"Tâm thần sao biết phá ngai, nghi ngờ vl","toxic","sarcasm"
"Cần luật nghiêm hơn cho mấy vụ này","negative","suggestion"
"Thằng này đáng bị xử nặng, phá đồ quý","toxic","curse"
"Bảo vệ lăng chắc đi chơi nên ko thấy","negative","sarcasm"
"Tội ông này, chắc bệnh tâm thần thật","positive","neutral"
"Hài hước ghê, phá ngai mà tỉnh như sáo","neutral","humor"
"An ninh lăng yếu kém, cần thay đổi","negative","suggestion"
"Tâm thần mà phá đúng chỗ, kn nổi","toxic","sarcasm"
"Phá di sản thì phải phạt nặng, ko tha","negative","anger"
"Ai thả ông này ra mà để vô phá vậy","neutral","question"
"Ngáo đá xong kêu tâm thần, quen thuộc","negative","sarcasm"
"Coi clip thấy ông này kỳ lắm, chắc bệnh thật","neutral","neutral"
"Bảo vệ lăng làm ăn kiểu gì, đuổi hết đi","negative","anger"
"Tâm thần thì nhốt vô viện, thả ra làm gì","neutral","suggestion"
"Hài vl, chắc nghĩ mình là vua triều Nguyễn","neutral","humor"
"Phá di sản quốc gia mà ko bị gì, bất công vl","negative","anger"
"Tâm thần sao biết phá ngai vàng, nghi ngờ lắm","toxic","sarcasm"
"Thương anh quá, xin stk để hỗ trợ chút đỉnh","positive","neutral"
"Nghèo thế này mà đẻ chi cho khổ con cái","negative","anger"
"Mấy ông mạnh thường quân cho xin info giúp anh này đi","neutral","question"
"Đã nghèo còn tật, sinh con ra làm gì trời","toxic","insult"
"Nhìn anh đứng lặng lẽ mà xót, ai giúp được thì giúp đi","positive","neutral"
"Đẻ lắm để làm gì, giờ chạy vạy khắp nơi khổ vl","negative","anger"
"Xin thông tin hỗ trợ gia đình anh này với mọi người ơi","neutral","question"
"Thà ở vậy còn hơn, đẻ con ra khổ cả nhà","negative","suggestion"
"Coi clip mà rưng rưng, thương quá trời","positive","neutral"
"Nghèo thì đừng đẻ, nói mãi chả nghe","toxic","anger"
"Cuộc sống khó khăn thế này, ai giúp được thì giúp anh ý","neutral","suggestion"
"16 tỏi cho bà kia mà ko giúp người này, tức vl","negative","anger"
"Nhìn anh đứng trầm tư mà xót, có stk thì share nha","positive","question"
"Đẻ con ra khổ thế này, nghĩ sao nổi trời","negative","anger"
"Ai biết thông tin hỗ trợ thì nhắn tui với","neutral","question"
"Nghèo còn đẻ, đúng là tự làm khổ mình","toxic","sarcasm"
"Thương anh lắm, cố lên anh nhé","positive","neutral"
"Đã nghèo còn đẻ nhiều, giờ than khổ ai nghe","negative","anger"
"Mấy bác biết stk anh này thì cho em xin với","neutral","question"
"Sinh con ra mà ko lo được, ích kỷ vl","toxic","insult"
"Nhìn clip mà thương, ai giúp được thì giúp đi","positive","neutral"
"Nghèo thì ở vậy, đẻ chi cho khổ con","negative","suggestion"
"Xin stk để gửi chút hỗ trợ cho anh này","neutral","question"
"Đẻ lắm để giờ chạy vạy khắp nơi, chán","toxic","sarcasm"
"Thương gia đình anh quá, cố gắng vượt qua nhé","positive","neutral"
"Nghèo mà đẻ con, khổ cả đời chả xong","negative","anger"
"Ai có thông tin hỗ trợ thì share nha","neutral","question"
"Đã nghèo còn đẻ, đúng là ko biết nghĩ","toxic","insult"
"Nhìn anh mà xót, ai giúp được thì giúp đi","positive","neutral"
"Sinh con ra khổ thế này, ai chịu nổi","negative","anger"
"Mọi người cho xin stk anh này với ạ","neutral","question"
"Nghèo còn đẻ, tự chuốc khổ vào thân","toxic","sarcasm"
"Thương anh quá, cố lên anh nhé","positive","neutral"
"Đẻ con ra mà ko lo nổi, nghĩ sao nổi","negative","anger"
"Xin thông tin để hỗ trợ gia đình anh này","neutral","question"
"Đã nghèo còn đẻ, đúng là hết nói","toxic","insult"
"Nhìn clip mà xót, ai giúp được thì giúp","positive","neutral"
"Nghèo thì đừng đẻ, khổ cả nhà","negative","suggestion"
"Ai biết stk anh này thì share nha","neutral","question"
"Sinh con ra khổ thế này, chán thật","toxic","sarcasm"
"Thương anh lắm, cố gắng vượt qua nhé","positive","neutral"
"Đẻ nhiều để giờ khổ cả nhà, haiz","negative","anger"
"Cho xin thông tin hỗ trợ anh này với","neutral","question"
"Nghèo mà đẻ, đúng là tự làm khổ","toxic","insult"
"Nhìn anh đứng lặng lẽ mà thương","positive","neutral"
"Nghèo thì ở vậy, đẻ chi cho khổ","negative","suggestion"
"Mọi người share stk anh này nha","neutral","question"
"Đẻ con ra mà ko lo được, chán vl","toxic","sarcasm"
"Thương gia đình anh, cố lên nhé","positive","neutral"
"Đã nghèo còn đẻ, nghĩ sao nổi trời","negative","anger"
"Xin stk để hỗ trợ anh này chút","neutral","question"
"Nghèo còn đẻ, đúng là ko biết nghĩ","toxic","insult"
"Nhìn clip mà xót quá, thương anh","positive","neutral"
"Sinh con ra khổ thế này, haiz","negative","anger"
"Ai có thông tin hỗ trợ thì share","neutral","question"
"Đã nghèo còn đẻ, tự chuốc khổ","toxic","sarcasm"
"Thương anh lắm, cố gắng anh nhé","positive","neutral"
"Nghèo mà đẻ con, khổ cả đời","negative","anger"
"Cho xin stk anh này để hỗ trợ","neutral","question"
"Đẻ lắm để giờ khổ, chán thật","toxic","sarcasm"
"Nhìn anh mà xót, thương quá","positive","neutral"
"Nghèo thì đừng đẻ, khổ con cái","negative","suggestion"
"Mọi người biết stk thì share nha","neutral","question"
"Đã nghèo còn đẻ, đúng là hết nói","toxic","insult"
"Thương gia đình anh, cố lên","positive","neutral"
"Sinh con ra mà ko lo nổi, chán","negative","anger"
"Xin thông tin hỗ trợ anh này nha","neutral","question"
"Nghèo còn đẻ, tự làm khổ mình","toxic","sarcasm"
"Nhìn clip mà thương, xót quá","positive","neutral"
"Đẻ con ra khổ thế này, nghĩ sao","negative","anger"
"Ai có stk anh này thì share","neutral","question"
"Đã nghèo còn đẻ, chán thật","toxic","insult"
"Thương anh quá, cố lên nhé","positive","neutral"
"Nghèo mà đẻ, khổ cả nhà","negative","anger"
"Cho xin thông tin hỗ trợ nha","neutral","question"
"Đẻ lắm để giờ khổ, haiz","toxic","sarcasm"
"Nhìn anh đứng mà xót, thương","positive","neutral"
"Sinh con ra mà ko lo được, chán","negative","anger"
"Mọi người share stk anh này đi","neutral","question"
"Nghèo còn đẻ, đúng là ko nghĩ","toxic","insult"
"Thương gia đình anh, cố gắng nhé","positive","neutral"
"Đã nghèo còn đẻ, khổ cả đời","negative","anger"
"Xin stk để hỗ trợ chút đỉnh","neutral","question"
"Đẻ con ra khổ thế này, chán vl","toxic","sarcasm"
"Nhìn clip mà xót, thương anh","positive","neutral"
"Nghèo thì ở vậy, đẻ chi khổ","negative","suggestion"
"Ai biết thông tin thì share nha","neutral","question"
"Đã nghèo còn đẻ, hết nói nổi","toxic","insult"
"Thương anh lắm, cố lên anh","positive","neutral"
"Sinh con ra mà khổ, nghĩ sao","negative","anger"
"Cho xin stk anh này với ạ","neutral","question"
"Nghèo còn đẻ, tự chuốc khổ","toxic","sarcasm"
"Nhìn anh mà thương, xót quá","positive","neutral"
"Đẻ con ra khổ thế này, chán","negative","anger"
"Mọi người có stk thì share","neutral","question"
"Đã nghèo còn đẻ, đúng là chán","toxic","insult"
"Thương gia đình anh, cố lên","positive","neutral"
"Nghèo mà đẻ, khổ cả nhà","negative","anger"
"Xin thông tin hỗ trợ anh này","neutral","question"
"Đẻ lắm để khổ, chán thật","toxic","sarcasm"
"Mát thế này cứ như mùa đông giữa hè luôn :))","positive","humor"
"Thời tiết thế này đúng chuẩn để đi cafe Hà Nội","positive","neutral"
"Sáng nay ra đường lạnh tê tay, quên áo khoác","negative","neutral"
"Ve chắc hoang mang lắm, hè đâu mà kêu :)))","toxic","sarcasm"
"Thời tiết mát thế này giữ mãi nhé trời ơi","positive","suggestion"
"Hà Nội lạnh 20 độ, tưởng đang ở Đà Lạt","neutral","humor"
"Đi xe máy sáng nay rét run, mùa hè đâu mất","negative","anger"
"Ê bài hát gì mà ko biến được mùa hạ thành đông nhỉ","neutral","question"
"Thời tiết kiểu này đúng là điên thật vl","toxic","insult"
"Mát mẻ thế này thích quá, cứ thế này đi","positive","neutral"
"Sáng dậy tưởng mùa đông, hóa ra Hà Nội :))","neutral","humor"
"Thời tiết bất ổn thế này, mai nóng lại chắc","negative","anger"
"Ai biết thời tiết mai có lạnh nữa ko?","neutral","question"
"Lạnh thế này lôi áo khoác ra mặc luôn","positive","neutral"
"Ve chắc shock, hè mà lạnh thế này :)))","toxic","sarcasm"
"Thời tiết Hà Nội đúng là khó đoán vl","negative","neutral"
"Mát thế này đi dạo Hồ Gươm là hết ý","positive","neutral"
"Sáng nay đi làm rét, tưởng mùa đông tới","neutral","neutral"
"Thời tiết kiểu này chắc ve nghỉ hát luôn","toxic","humor"
"Yêu cầu Hà Nội giữ thời tiết này cả tháng","positive","suggestion"
"Hè mà lạnh 20 độ, Hà Nội đúng chất :))","neutral","humor"
"Quên áo khoác, đi đường lạnh muốn xỉu","negative","neutral"
"Bài hát ko biến mùa hạ thành đông là bài gì?","neutral","question"
"Thời tiết mát thế, thích ghê luôn","positive","neutral"
"Ve chắc buồn, lạnh thế này kêu sao nổi :)))","toxic","sarcasm"
"Thời tiết Hà Nội nay lạ lùng ghê","neutral","neutral"
"Sáng nay đi xe máy rét, hè đâu mất tiêu","negative","anger"
"Mát thế này cứ như ở Sapa chứ Hà Nội đâu","positive","humor"
"Thời tiết thế này đúng là yêu luôn","positive","neutral"
"Ai ngờ hè mà lôi chăn bông ra đắp :))","neutral","humor"
"Thời tiết kiểu này chắc mai lại nóng","negative","neutral"
"Có ai biết lạnh thế này đến bao giờ?","neutral","question"
"Mát mẻ thế này đi ăn lẩu là chuẩn","positive","neutral"
"Ve chắc nghĩ: hè này nghỉ việc :)))","toxic","sarcasm"
"Thời tiết Hà Nội đúng là drama queen","negative","humor"
"Sáng nay lạnh, tưởng đang ở mùa đông","neutral","neutral"
"Thời tiết thế này cứ giữ mãi nhé","positive","suggestion"
"Hè mà lạnh thế này, ve chắc shock nặng","toxic","sarcasm"
"Đi làm sáng nay rét, quên mang áo khoác","negative","neutral"
"Mát thế này đi dạo phố cổ là hết sảy","positive","neutral"
"Thời tiết Hà Nội nay đúng là bất ngờ","neutral","neutral"
"Hè mà lạnh 20 độ, đúng kiểu Hà Nội :))","positive","humor"
"Ve chắc hoang mang: hè đâu mà kêu :)))","toxic","sarcasm"
"Thời tiết thế này thích quá, cứ thế đi","positive","neutral"
"Sáng nay đi xe máy lạnh run luôn","negative","neutral"
"Ai biết mai có mát thế này nữa ko?","neutral","question"
"Mát mẻ thế này đúng là trời chiều lòng người","positive","neutral"
"Thời tiết kiểu này ve chắc nghỉ hát :))","toxic","humor"
"Cơm quê mà giá như ở Dubai luôn 😭","negative","sarcasm"
"Vắt kiệt view cơm quê dượng bầu, Huy ơi!","neutral","humor"
"Chúc gia đình dượng bầu mạnh khỏe 🍀","positive","neutral"
"Huy làm mấy clip rồi mà vẫn hot thế 😌","positive","neutral"
"Cơm quê giá cổng trời, đắt xỉu","negative","sarcasm"
"Dượng bầu bị vắt cạn view rồi nè 😂","neutral","humor"
"Một lần xem vui, nhiều lần xem vui hơn 😜","positive","humor"
"Cô ơi, bật bài Trình cho khách nghe đi","neutral","humor"
"Cơm quê mà giá ngang vé máy bay 😅","negative","sarcasm"
"Quán nằm ở Nguyễn Huệ nên giá trên trời hả?","neutral","question"
"Cơm quê dượng bầu, ăn một lần nhớ cả đời","positive","neutral"
"Anh Huy nhìn giống nhân viên quán luôn á 😆","neutral","humor"
"Vượt đỉnh cơm quê, giá thượng đế rồi nha 😎","positive","humor"
"Quán dưới đất mà giá trên mây 😭","negative","sarcasm"
